time_s,temperature_C,pressure_Pa,humidity_percent
322,29.04,101768.48,40.71
323,29.04,101765.84,40.63
324,29.05,101772.83,40.66
325,29.05,101765.80,40.70
326,29.05,101767.56,40.68
327,29.06,101769.29,40.63
328,29.05,101771.06,40.58
329,29.06,101769.29,40.53
330,29.07,101771.01,40.54
331,29.07,101765.75,40.51
332,29.07,101771.01,40.51
333,29.07,101768.38,40.54
334,29.07,101771.01,40.53
335,29.07,101771.87,40.66
336,29.06,101770.15,40.70
337,29.06,101770.15,40.78
338,29.08,101764.83,40.88
339,29.07,101771.87,41.06
340,29.09,101779.71,41.25
341,29.09,101763.92,41.47
342,29.08,101772.73,41.49
343,29.08,101762.20,41.46
344,29.08,101767.47,41.44
345,29.07,101765.75,41.47
346,29.08,101767.47,41.46
347,29.08,101770.09,41.51
348,29.07,101765.75,41.54
349,29.08,101770.09,41.66
350,29.08,101767.47,41.64
351,29.08,101764.83,41.58
352,29.08,101770.95,41.54
353,29.09,101766.56,41.52
354,29.07,101769.24,41.57
355,29.08,101775.36,41.58
356,29.09,101774.45,41.56
357,29.08,101772.73,41.54
358,29.08,101765.70,41.49
359,29.08,101770.09,41.42
360,29.07,101765.75,41.36
361,29.08,101767.47,41.28
362,29.08,101770.09,41.20
363,29.08,101772.73,41.14
364,29.08,101770.95,41.03
365,29.10,101770.91,41.01
366,29.08,101772.73,41.01
367,29.09,101763.92,40.95
368,29.09,101770.05,40.95
369,29.09,101769.19,40.86
370,29.09,101767.42,40.72
371,29.11,101767.36,40.62
372,29.10,101765.64,40.51
373,29.10,101769.13,40.51
374,29.11,101767.36,40.45
375,29.11,101769.99,40.40
376,29.11,101772.62,40.36
377,29.10,101760.38,40.31
378,29.12,101766.45,40.13
379,29.10,101766.50,40.19
380,29.12,101763.82,40.16
381,29.12,101769.94,40.17
382,29.13,101768.17,40.24
383,29.12,101769.94,40.31
384,29.13,101770.80,40.24
385,29.14,101767.26,40.16
386,29.13,101771.66,40.25
387,29.14,101772.52,40.23
388,29.13,101770.80,40.22
389,29.12,101769.08,40.19
390,29.12,101766.45,40.16
391,29.11,101767.36,40.19
392,29.12,101769.08,40.17
393,29.12,101769.08,40.15
394,29.12,101769.08,40.13
395,29.12,101774.34,40.13
396,29.12,101771.72,40.17
397,29.11,101772.62,40.23
398,29.10,101768.28,40.24
399,29.11,101772.62,40.20
400,29.10,101770.91,40.19
401,29.11,101767.36,40.20
402,29.10,101765.64,40.25
403,29.09,101769.19,40.31
404,29.09,101771.81,40.34
405,29.08,101772.73,40.36
406,29.08,101775.36,40.40
407,29.07,101768.38,40.40
408,29.08,101777.99,40.43
409,29.07,101776.26,40.39
410,29.08,101770.09,40.39
411,29.07,101771.01,40.39
412,29.05,101764.94,40.38
413,29.06,101774.55,40.41
414,29.04,101771.11,40.39
415,29.05,101776.33,40.41
416,29.05,101772.83,40.39
417,29.05,101767.56,40.39
418,29.04,101774.60,40.38
419,29.04,101771.11,40.38
420,29.04,101771.11,40.34
421,29.03,101766.76,40.34
422,29.03,101770.25,40.30
423,29.03,101774.65,40.29
424,29.03,101770.25,40.24
425,29.02,101768.53,40.22
426,29.04,101768.48,40.24
427,29.03,101777.28,40.22
428,29.04,101771.11,40.22
429,29.03,101766.76,40.20
430,29.03,101766.76,40.23
431,29.03,101772.02,40.21
432,29.03,101772.02,40.21
433,29.03,101772.02,40.14
434,29.04,101771.11,40.16
435,29.04,101776.38,40.14
436,29.02,101772.94,40.11
437,29.03,101764.12,40.09
438,29.03,101769.39,40.07
439,29.02,101773.79,40.07
440,29.03,101774.65,40.00
441,29.02,101767.67,40.01
442,29.03,101769.39,40.00
443,29.03,101774.65,39.94
444,29.00,101764.24,39.89
445,29.02,101772.94,39.88
446,29.01,101765.95,39.84
447,29.00,101764.24,39.85
448,29.00,101774.75,39.82
449,28.99,101767.77,39.85
450,28.99,101767.77,39.78
451,28.99,101767.77,39.77
452,28.98,101773.94,39.74
453,28.98,101779.20,39.72
454,28.97,101774.85,39.71
455,28.97,101772.22,39.68
457,28.97,101772.22,39.66
458,28.96,101768.74,39.63
459,28.96,101773.13,39.65
460,28.95,101772.26,39.63
461,28.95,101768.78,39.61
462,28.94,101769.69,39.58
463,28.92,101769.74,39.49
464,28.92,101774.14,39.47
465,28.92,101766.25,39.36
466,28.92,101768.88,39.32
467,28.90,101762.81,39.29
468,28.92,101768.88,39.28
469,28.90,101771.56,39.26
470,28.89,101771.61,39.27
471,28.90,101768.07,39.25
472,28.89,101768.98,39.26
473,28.88,101770.75,39.24
474,28.89,101768.98,39.23
475,28.88,101765.49,39.24
476,28.89,101771.61,39.23
477,28.87,101769.03,39.24
478,28.88,101746.22,39.24
479,28.87,101765.54,39.22
480,28.87,101768.17,39.27
481,28.88,101772.52,39.34
482,28.87,101768.17,39.35
483,28.88,101775.16,39.30
484,28.86,101767.31,39.29
485,28.86,101767.31,39.18
486,28.87,101769.03,39.21
487,28.85,101766.45,39.22
488,28.85,101766.45,39.25
489,28.85,101771.71,39.27
490,28.84,101775.25,39.28
