time_s,temperature_C,pressure_Pa,humidity_percent
68,21.97,101708.42,54.66
69,21.98,101712.75,54.64
70,21.98,101707.55,54.69
71,21.99,101706.67,54.72
72,21.99,101706.67,54.69
73,22.00,101704.07,54.75
74,22.00,101713.61,54.72
75,21.99,101709.28,54.69
76,22.00,101711.02,54.71
77,21.99,101712.75,54.49
78,21.99,101714.48,54.67
79,22.01,101712.74,54.66
81,22.03,101721.44,54.65
82,22.03,101720.58,54.64
83,22.03,101715.37,54.69
84,22.03,101715.37,54.62
85,22.04,101717.09,54.75
86,22.03,101711.03,54.80
87,22.04,101712.76,54.79
88,22.03,101708.42,54.76
89,22.04,101706.69,54.68
90,22.03,101705.83,54.66
91,22.05,101713.62,54.63
92,22.03,101705.83,54.63
93,22.02,101704.09,54.43
94,22.04,101706.69,54.50
95,22.00,101696.26,54.36
96,22.01,101702.33,54.23
97,22.02,101711.91,54.24
98,22.02,101714.50,54.24
100,22.01,101707.53,54.25
101,21.99,101710.14,54.30
102,21.99,101714.48,54.29
103,22.00,101711.88,54.39
104,21.99,101710.14,54.52
105,21.98,101707.55,54.58
106,22.00,101711.02,54.46
107,22.00,101714.48,54.35
108,21.99,101714.48,54.20
109,21.99,101709.28,54.08
110,21.97,101701.48,54.09
111,21.98,101707.55,54.13
112,21.98,101707.55,54.08
113,21.97,101705.82,54.16
114,21.97,101718.83,54.12
115,21.96,101710.16,54.10
116,21.96,101709.30,53.99
117,21.95,101717.97,53.87
119,21.95,101712.76,53.89
120,21.94,101713.64,54.00
121,21.93,101714.51,54.07
122,21.92,101712.78,54.07
123,21.93,101715.38,54.18
124,21.92,101715.38,54.16
125,21.93,101714.51,54.20
126,21.92,101710.17,54.22
127,21.92,101707.57,54.26
128,21.91,101711.05,54.23
129,21.91,101705.84,54.24
130,21.93,101709.30,54.26
131,21.92,101712.78,54.52
132,21.94,101711.03,54.87
133,21.96,101719.70,55.40
134,21.98,101717.95,56.28
135,21.98,101710.16,56.52
136,22.01,101717.94,56.57
138,22.02,101709.30,56.75
139,22.05,101709.28,56.97
140,22.06,101715.35,57.33
141,22.07,101712.75,57.20
142,22.09,101704.94,57.16
143,22.11,101709.23,57.14
144,22.13,101709.22,57.28
145,22.14,101709.20,57.50
146,22.17,101714.40,57.56
147,22.17,101709.19,57.45
148,22.19,101707.45,57.56
149,22.21,101716.11,57.80
150,22.23,101709.16,58.19
151,22.24,101710.89,58.50
152,22.25,101717.83,58.74
153,22.27,101721.28,58.88
154,22.29,101719.55,59.09
156,22.29,101719.55,59.32
157,22.31,101723.00,59.45
158,22.32,101719.52,59.65
159,22.33,101721.25,59.77
160,22.36,101717.76,59.82
161,22.35,101721.25,59.79
162,22.38,101728.17,59.76
163,22.39,101724.70,59.75
164,22.40,101721.22,59.73
165,22.41,101725.56,59.63
166,22.43,101718.59,59.73
167,22.43,101726.41,59.81
168,22.44,101726.41,59.86
169,22.46,101723.79,59.88
170,22.47,101728.98,59.79
171,22.47,101726.38,59.53
172,22.50,101717.69,59.73
173,22.52,101715.94,59.75
175,22.53,101717.67,59.79
176,22.54,101708.98,59.76
177,22.56,101712.44,59.74
178,22.57,101716.78,59.87
179,22.58,101715.91,60.13
180,22.58,101710.69,60.06
181,22.59,101710.68,60.15
182,22.61,101715.88,60.14
183,22.63,101719.34,60.05
184,22.62,101702.84,59.93
185,22.65,101717.59,59.58
186,22.65,101713.25,59.53
187,22.67,101705.42,59.62
188,22.67,101706.28,59.80
189,22.68,101708.02,59.81
190,22.70,101710.61,59.23
191,22.69,101711.48,58.84
192,22.70,101710.61,59.20
194,22.70,101710.61,59.57
195,22.68,101712.36,59.71
196,22.67,101716.70,59.73
197,22.68,101712.36,59.40
198,22.68,101713.22,59.20
199,22.67,101711.50,59.04
200,22.67,101721.91,58.75
201,22.65,101713.25,58.11
202,22.66,101714.11,57.43
203,22.65,101717.59,56.25
204,22.63,101716.74,55.69
205,22.63,101714.13,55.53
206,22.61,101715.88,55.37
207,22.60,101716.75,55.35
208,22.59,101717.62,55.53
209,22.59,101712.42,55.67
210,22.56,101720.25,55.85
211,22.55,101710.71,56.10
213,22.54,101715.06,56.12
214,22.54,101711.58,56.12
215,22.53,101713.33,56.07
216,22.52,101705.52,56.06
217,22.53,101712.46,55.98
218,22.52,101710.74,55.94
219,22.51,101715.08,55.88
220,22.51,101709.00,55.54
221,22.51,101717.68,55.69
222,22.50,101717.69,55.42
223,22.50,101715.95,55.23
224,22.49,101715.95,55.32
225,22.47,101707.30,55.33
226,22.48,101703.81,55.82
227,22.48,101714.23,56.60
228,22.49,101710.75,56.65
229,22.48,101715.09,56.56
230,22.49,101721.16,56.40
232,22.47,101713.36,56.30
233,22.48,101725.51,56.09
234,22.47,101722.92,56.00
235,22.47,101709.90,55.89
236,22.46,101715.98,55.76
237,22.45,101709.91,55.58
238,22.46,101710.76,55.49
239,22.46,101715.98,55.44
240,22.45,101719.45,55.38
241,22.45,101714.25,55.47
242,22.45,101714.25,55.28
243,22.44,101717.73,55.15
244,22.43,101716.00,55.18
245,22.41,101717.74,54.95
246,22.42,101716.87,54.88
247,22.41,101718.61,54.86
248,22.41,101720.34,54.84
250,22.41,101717.74,54.78
251,22.40,101716.02,54.63
252,22.41,101717.74,54.64
253,22.40,101710.81,54.65
254,22.38,101707.35,54.67
255,22.38,101702.14,54.65
